Time,PlatformId,"Location (Lat, Long, Alt)","Orientation (Heading, Pitch, Roll)",Speed (m/s),FuelReserve,FuelBingo,FuelQuantity,FuelInitial,Name,Side,Domain
4,6,"[-27.510815,153.12174,304.79999]","[-1.813418,0.0,0.0]",61.73333359,0,4082.33137,11516.05746,11521.24631,red6,red,2
4,7,"[-27.725548,152.89167,304.79999]","[0.0,0.0,0.0]",61.73333359,0,2267.961872,7708.103367,7711.070366,blue1,blue,2
4,8,"[-27.550534,152.67742,304.79999]","[1.3089794,0.0,0.0]",61.73333359,0,2267.961872,7708.103367,7711.070366,blue2,blue,2
5,1,"[-27.360578,153.07455,304.79999]","[-2.5112426,0.0,0.0]",61.73333359,0,4082.33137,11514.78187,11521.24631,red1,red,2
5,2,"[-27.191642,153.07354,304.79999]","[-3.0289244,0.0,0.0]",61.73333359,0,4082.33137,11514.80349,11521.24631,red2,red,2
5,3,"[-27.465543,152.92066,304.79999]","[-3.0862824,0.0,0.0]",61.73333359,0,4082.33137,11514.80349,11521.24631,red3,red,2
5,4,"[-27.480443,152.73584,304.79999]","[2.0449595,0.0,0.0]",61.73333359,0,4082.33137,11514.76025,11521.24631,red4,red,2
5,5,"[-27.434026,152.78224,304.79999]","[2.0334898,0.0,0.0]",61.73333359,0,4082.33137,11514.76025,11521.24631,red5,red,2
5,6,"[-27.510949,153.12113,304.79999]","[-1.8134131,0.0,0.0]",61.73333359,0,4082.33137,11514.76025,11521.24631,red6,red,2
5,7,"[-27.724991,152.89167,304.79999]","[-5.5511363e-17,0.0,0.0]",61.73333359,0,2267.961872,7707.361265,7711.070366,blue1,blue,2
5,8,"[-27.55039,152.67802,304.79999]","[1.3089745,0.0,0.0]",61.73333359,0,2267.961872,7707.361265,7711.070366,blue2,blue,2
6,1,"[-27.361029,153.07419,304.79999]","[-2.5112396,0.0,0.0]",61.73333359,0,4082.33137,11513.48466,11521.24631,red1,red,2
6,2,"[-27.192196,153.07347,304.79999]","[-3.0289238,0.0,0.0]",61.73333359,0,4082.33137,11513.50628,11521.24631,red2,red,2
6,3,"[-27.4661,152.92063,304.79999]","[-3.0862821,0.0,0.0]",61.73333359,0,4082.33137,11513.50628,11521.24631,red3,red,2
6,4,"[-27.480697,152.73639,304.79999]","[2.044955,0.0,0.0]",61.73333359,0,4082.33137,11513.46304,11521.24631,red4,red,2
6,5,"[-27.434275,152.7828,304.79999]","[2.0334853,0.0,0.0]",61.73333359,0,4082.33137,11513.46304,11521.24631,red5,red,2
6,6,"[-27.511083,153.12052,304.79999]","[-1.8134082,0.0,0.0]",61.73333359,0,4082.33137,11513.46304,11521.24631,red6,red,2
6,7,"[-27.724433,152.89167,304.79999]","[0.0,0.0,0.0]",61.73333359,0,2267.961872,7706.619164,7711.070366,blue1,blue,2
6,8,"[-27.550245,152.67863,304.79999]","[1.3089697,0.0,0.0]",61.73333359,0,2267.961872,7706.619164,7711.070366,blue2,blue,2
7,1,"[-27.361479,153.07382,304.79999]","[-2.5112367,0.0,0.0]",61.73333359,0,4082.33137,11512.18745,11521.24631,red1,red,2
7,2,"[-27.19275,153.0734,304.79999]","[-3.0289232,0.0,0.0]",61.73333359,0,4082.33137,11512.20907,11521.24631,red2,red,2
7,3,"[-27.466657,152.92059,304.79999]","[-3.0862818,0.0,0.0]",61.73333359,0,4082.33137,11512.20907,11521.24631,red3,red,2
7,4,"[-27.480952,152.73695,304.79999]","[2.0449505,0.0,0.0]",61.73333359,0,4082.33137,11512.16582,11521.24631,red4,red,2
7,5,"[-27.434524,152.78336,304.79999]","[2.0334808,0.0,0.0]",61.73333359,0,4082.33137,11512.16582,11521.24631,red5,red,2
7,6,"[-27.511216,153.11992,304.79999]","[-1.8134034,0.0,0.0]",61.73333359,0,4082.33137,11512.16582,11521.24631,red6,red,2
7,7,"[-27.723875,152.89167,304.79999]","[0.0,0.0,0.0]",61.73333359,0,2267.961872,7705.877062,7711.070366,blue1,blue,2
7,8,"[-27.550101,152.67923,304.79999]","[1.3089648,0.0,0.0]",61.73333359,0,2267.961872,7705.877062,7711.070366,blue2,blue,2
8,1,"[-27.36193,153.07345,304.79999]","[-2.5112338,0.0,0.0]",61.73333359,0,4082.33137,11510.89023,11521.24631,red1,red,2
8,2,"[-27.193304,153.07333,304.79999]","[-3.0289227,0.0,0.0]",61.73333359,0,4082.33137,11510.91185,11521.24631,red2,red,2
8,3,"[-27.467214,152.92056,304.79999]","[-3.0862815,0.0,0.0]",61.73333359,0,4082.33137,11510.91185,11521.24631,red3,red,2
8,4,"[-27.481206,152.7375,304.79999]","[2.0449461,0.0,0.0]",61.73333359,0,4082.33137,11510.86861,11521.24631,red4,red,2
8,5,"[-27.434773,152.78392,304.79999]","[2.0334763,0.0,0.0]",61.73333359,0,4082.33137,11510.86861,11521.24631,red5,red,2
8,6,"[-27.51135,153.11931,304.79999]","[-1.8133985,0.0,0.0]",61.73333359,0,4082.33137,11510.86861,11521.24631,red6,red,2
8,7,"[-27.723318,152.89167,304.79999]","[2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7705.13496,7711.070366,blue1,blue,2
8,8,"[-27.549957,152.67983,304.79999]","[1.30896,0.0,0.0]",61.73333359,0,2267.961872,7705.13496,7711.070366,blue2,blue,2
9,1,"[-27.36238,153.07308,304.79999]","[-2.5112308,0.0,0.0]",61.73333359,0,4082.33137,11509.59302,11521.24631,red1,red,2
9,2,"[-27.193858,153.07326,304.79999]","[-3.0289221,0.0,0.0]",61.73333359,0,4082.33137,11509.61464,11521.24631,red2,red,2
9,3,"[-27.467771,152.92052,304.79999]","[-3.0862813,0.0,0.0]",61.73333359,0,4082.33137,11509.61464,11521.24631,red3,red,2
9,4,"[-27.481461,152.73806,304.79999]","[2.0449416,0.0,0.0]",61.73333359,0,4082.33137,11509.5714,11521.24631,red4,red,2
9,5,"[-27.435021,152.78448,304.79999]","[2.0334719,0.0,0.0]",61.73333359,0,4082.33137,11509.5714,11521.24631,red5,red,2
9,6,"[-27.511484,153.1187,304.79999]","[-1.8133936,0.0,0.0]",61.73333359,0,4082.33137,11509.5714,11521.24631,red6,red,2
9,7,"[-27.722787,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7704.428555,7711.070366,blue1,blue,2
9,8,"[-27.549819,152.68041,304.79999]","[1.3089554,0.0,0.0]",61.73333359,0,2267.961872,7704.428555,7711.070366,blue2,blue,2
10,1,"[-27.362831,153.07271,304.79999]","[-2.5112279,0.0,0.0]",61.73333359,0,4082.33137,11508.29581,11521.24631,red1,red,2
10,2,"[-27.194412,153.07319,304.79999]","[-3.0289216,0.0,0.0]",61.73333359,0,4082.33137,11508.31743,11521.24631,red2,red,2
10,3,"[-27.468328,152.92049,304.79999]","[-3.086281,0.0,0.0]",61.73333359,0,4082.33137,11508.31743,11521.24631,red3,red,2
10,4,"[-27.481716,152.73862,304.79999]","[2.0449372,0.0,0.0]",61.73333359,0,4082.33137,11508.27419,11521.24631,red4,red,2
10,5,"[-27.43527,152.78504,304.79999]","[2.0334674,0.0,0.0]",61.73333359,0,4082.33137,11508.27419,11521.24631,red5,red,2
10,6,"[-27.511618,153.1181,304.79999]","[-1.8133888,0.0,0.0]",61.73333359,0,4082.33137,11508.27419,11521.24631,red6,red,2
